CustomerID,Age,Gender,MembershipType,PurchasesLastMonth,AvgPurchaseValue,IsRetained,Region,ShoppingAlone
1,56,Female,3,2,2927,0,E,1
2,46,Male,1,6,2068,1,N,1
3,32,Male,2,1,1456,0,S,0
4,25,Male,2,1,2136,0,S,1
5,38,Female,1,6,1791,1,S,1
6,56,Female,1,5,1940,1,S,1
7,36,Female,3,2,1691,0,E,1
8,40,Male,2,8,1566,0,E,1
9,28,Female,1,9,784,1,E,1
10,28,Male,3,5,2944,0,W,1
11,41,Female,3,9,511,1,E,1
12,53,Female,2,9,2130,1,E,1
13,57,Female,3,5,1253,0,N,1
14,41,Male,1,0,2582,0,S,1
15,20,Male,1,3,589,0,S,1
16,39,Male,3,9,1275,0,N,1
17,19,Female,3,5,2125,1,S,0
18,41,Male,3,5,917,0,S,1
19,47,Male,2,4,614,0,W,1
20,55,Male,3,0,1116,0,W,1
21,19,Female,3,7,1325,0,E,1
22,38,Male,3,4,2149,0,S,0
23,50,Female,3,4,2016,0,N,1
24,29,Female,2,6,912,1,W,1
25,39,Male,2,3,1228,0,W,1
26,42,Female,2,5,1175,0,S,1
27,44,Male,3,3,2392,0,E,1
28,59,Male,3,2,2739,0,N,1
29,45,Female,1,6,1622,1,N,0
30,33,Female,2,7,2071,1,N,0
31,32,Female,2,3,1477,0,S,1
32,20,Female,2,1,1508,0,W,0
33,54,Female,3,9,2643,1,E,0
34,24,Male,1,2,2187,0,S,1
35,38,Male,1,0,536,0,E,0
36,26,Male,2,7,2048,0,W,1
37,56,Male,1,2,2826,0,W,1
38,35,Male,2,9,2764,0,N,1
39,21,Female,3,6,1372,1,S,1
40,42,Male,3,9,2321,0,N,1
41,31,Male,2,4,1796,0,S,0
42,26,Male,2,9,2609,0,N,1
43,43,Female,2,4,1095,0,E,1
44,19,Male,2,6,2403,0,S,1
45,37,Female,1,8,1228,1,N,1
46,45,Male,2,4,1865,0,S,1
47,24,Male,3,0,896,0,S,1
48,25,Male,2,9,1198,0,S,0
49,52,Male,3,9,2724,0,S,1
50,31,Male,2,0,2135,0,N,0
51,34,Male,2,1,895,0,S,0
52,53,Female,2,5,2992,0,S,0
53,57,Male,2,8,575,0,E,1
54,21,Male,3,7,764,0,S,1
55,19,Male,1,4,2319,0,N,0
56,23,Male,2,0,1217,0,N,1
57,59,Female,2,6,1350,1,W,0
58,21,Male,3,4,1890,0,S,0
59,46,Male,1,5,643,0,E,0
60,35,Male,3,6,1384,0,W,0
61,43,Male,2,2,895,0,N,1
62,51,Female,1,9,1992,1,W,1
63,27,Female,3,2,1667,0,E,1
64,53,Male,3,4,1562,0,N,0
65,31,Female,3,5,2656,0,S,0
66,48,Male,2,8,1565,0,E,0
67,32,Female,2,4,1709,0,S,1
68,25,Male,2,0,2945,0,W,0
69,31,Male,3,3,1133,0,S,1
70,40,Male,1,4,1656,0,E,1
71,57,Female,2,9,1738,1,S,1
72,38,Female,1,9,1232,1,W,1
73,33,Male,1,4,734,0,E,0
74,35,Male,2,6,1250,0,N,1
75,41,Female,2,3,1453,0,N,1
76,43,Female,2,0,2042,0,N,1
77,42,Male,3,4,1697,0,N,0
78,58,Male,3,6,2176,0,N,0
79,46,Male,1,9,1691,1,E,0
80,32,Female,1,9,2717,0,S,1
81,18,Male,2,5,1916,0,E,1
82,42,Female,2,4,1717,0,W,1
83,24,Male,1,3,2040,0,E,0
84,26,Female,1,1,2576,0,E,1
85,41,Female,2,3,1945,0,E,0
86,18,Male,3,9,2886,0,S,0
87,25,Male,1,9,2019,1,N,0
88,41,Female,3,2,1888,0,N,1
89,28,Female,2,9,2356,0,S,0
90,34,Male,1,0,1865,0,S,1
91,25,Male,2,7,999,0,N,1
92,52,Female,1,4,2180,1,W,0
93,52,Female,2,3,1010,0,E,1
94,50,Male,1,7,716,1,N,0
95,22,Male,1,6,1824,1,S,0
96,59,Female,2,1,1655,0,N,1
97,56,Male,1,0,2327,0,S,0
98,58,Male,1,3,2310,0,S,1
99,45,Female,2,7,2992,0,W,1
100,24,Female,1,1,1705,0,S,1
